공원명,공원 시명,공원 구명,공원 도로명 주소,일반이용자(아침),일반이용자(낮),일반이용자(저녁),자전거,현황 일시
난지 한강공원,서울,마포구,한강난지로 22,1231,11487,7151,23722,2022-02-28 0:00
광나루 한강공원,서울,강동구,선사로 83-106,12740,57020,34055,51115,2022-02-28 0:00
양화 한강공원,서울,영등포구,노들로 221,0,29555,29820,45855,2022-02-28 0:00
반포 한강공원,서울,서초구,신반포로11길 40,4420,83528,60530,99453,2022-02-28 0:00
난지 한강공원,서울,마포구,한강난지로 22,1743,12094,7931,27608,2022-01-01 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,24930,135200,117310,145510,2022-01-01 0:00
망원 한강공원,서울,마포구,마포나루길 467,17620,37140,30636,72890,2022-01-01 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,3505,40924,22110,32380,2022-01-01 0:00
양화 한강공원,서울,영등포구,노들로 221,0,31144,36724,51911,2022-01-01 0:00
반포 한강공원,서울,서초구,신반포로11길 40,3350,65650,48205,65700,2022-01-01 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,1784,16194,17062,30723,2022-01-01 0:00
여의도 한강공원,서울,영등포구,여의동로 280,7693,29653,26675,24451,2022-01-01 0:00
잠실 한강공원,서울,송파구,한가람로 65,17845,87030,70595,91519,2022-01-01 0:00
광나루 한강공원,서울,강동구,선사로 83-106,15090,62510,24705,51020,2022-01-01 0:00
잠원 한강공원,서울,강남구,강남대로 708,14730,99450,90350,166205,2022-01-01 0:00
잠실 한강공원,서울,송파구,한가람로 65,15260,67240,62660,84341,2021-12-31 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,31650,156030,122040,173905,2021-12-31 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,3780,29703,28084,62226,2021-12-31 0:00
광나루 한강공원,서울,강동구,선사로 83-106,13860,47440,34360,65605,2021-12-31 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,3380,33860,20830,48460,2021-12-31 0:00
반포 한강공원,서울,서초구,신반포로11길 40,1840,41337,45272,64000,2021-12-31 0:00
잠원 한강공원,서울,강남구,강남대로 708,5010,24900,27790,41070,2021-12-31 0:00
난지 한강공원,서울,마포구,한강난지로 22,2432,17015,9492,29128,2021-12-31 0:00
여의도 한강공원,서울,영등포구,여의동로 280,10629,53331,76398,76694,2021-12-31 0:00
양화 한강공원,서울,영등포구,노들로 221,,52017,45756,48818,2021-12-31 0:00
망원 한강공원,서울,마포구,마포나루길 467,9459,21903,23526,42266,2021-12-31 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,39650,172550,193050,254830,2021-11-30 0:00
여의도 한강공원,서울,영등포구,여의동로 280,4095,45985,62546,87340,2021-11-30 0:00
양화 한강공원,서울,영등포구,노들로 221,0,63460,66640,93492,2021-11-30 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,3380,33860,20830,48460,2021-11-30 0:00
잠실 한강공원,서울,송파구,한가람로 65,14700,76424,62654,102095,2021-11-30 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,6482,49462,48580,132829,2021-11-30 0:00
잠원 한강공원,서울,강남구,강남대로 708,13860,122990,68950,188060,2021-11-30 0:00
망원 한강공원,서울,마포구,마포나루길 467,11365,22721,30996,52369,2021-11-30 0:00
난지 한강공원,서울,마포구,한강난지로 22,4475,21031,17541,44846,2021-11-30 0:00
반포 한강공원,서울,서초구,신반포로11길 40,2970,39046,44420,80836,2021-11-30 0:00
광나루 한강공원,서울,강동구,선사로 83-106,17690,61290,44280,107840,2021-11-30 0:00
망원 한강공원,서울,마포구,마포나루길 467,17876,26557,38468,66568,2021-10-31 0:00
난지 한강공원,서울,마포구,한강난지로 22,3830,28137,28996,61238,2021-10-31 0:00
잠원 한강공원,서울,강남구,강남대로 708,13630,141290,92460,225510,2021-10-31 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,3535,41150,22930,58530,2021-10-31 0:00
반포 한강공원,서울,서초구,신반포로11길 40,3280,50422,50290,109193,2021-10-31 0:00
여의도 한강공원,서울,영등포구,여의동로 280,3905,37735,65706,94324,2021-10-31 0:00
양화 한강공원,서울,영등포구,노들로 221,77851,108160,20261,154288,2021-10-31 0:00
광나루 한강공원,서울,강동구,선사로 83-106,22630,64440,60120,119955,2021-10-31 0:00
잠실 한강공원,서울,송파구,한가람로 65,22236,89910,96353,239962,2021-10-31 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,37500,199500,221430,265405,2021-10-31 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,7610,50320,56303,135896,2021-10-31 0:00
망원 한강공원,서울,마포구,마포나루길 467,14380,29644,45565,76399,2021-09-30 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,38000,176040,236250,262205,2021-09-30 0:00
여의도 한강공원,서울,영등포구,여의동로 280,4355,24520,53984,67795,2021-09-30 0:00
양화 한강공원,서울,영등포구,노들로 221,0,81411,169638,268647,2021-09-30 0:00
난지 한강공원,서울,마포구,한강난지로 22,4563,33328,37699,85376,2021-09-30 0:00
잠실 한강공원,서울,송파구,한가람로 65,23875,119825,152252,237730,2021-09-30 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,9050,49102,68866,146784,2021-09-30 0:00
광나루 한강공원,서울,강동구,선사로 83-106,24930,63830,77370,131820,2021-09-30 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,4050,41580,31770,65275,2021-09-30 0:00
반포 한강공원,서울,서초구,신반포로11길 40,3640,73020,83970,114288,2021-09-30 0:00
잠원 한강공원,서울,강남구,강남대로 708,17295,146200,126120,247590,2021-09-30 0:00
광나루 한강공원,서울,강동구,선사로 83-106,23190,35530,63820,111555,2021-08-31 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,45300,302250,420400,260244,2021-08-31 0:00
잠실 한강공원,서울,송파구,한가람로 65,23045,111222,132425,204077,2021-08-31 0:00
반포 한강공원,서울,서초구,신반포로11길 40,2281,50465,81380,98802,2021-08-31 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,6410,38580,33400,67820,2021-08-31 0:00
난지 한강공원,서울,마포구,한강난지로 22,4163,21316,32624,66759,2021-08-31 0:00
망원 한강공원,서울,마포구,마포나루길 467,12923,27741,43030,75075,2021-08-31 0:00
양화 한강공원,서울,영등포구,노들로 221,0,60641,111796,142528,2021-08-31 0:00
여의도 한강공원,서울,영등포구,여의동로 280,23420,312990,417836,121203,2021-08-31 0:00
잠원 한강공원,서울,강남구,강남대로 708,14790,131130,113390,263090,2021-08-31 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,9055,50481,61570,146391,2021-08-31 0:00
여의도 한강공원,서울,영등포구,여의동로 280,25060,355300,464150,123390,2021-07-31 0:00
광나루 한강공원,서울,강동구,선사로 83-106,19680,43010,63800,90999,2021-07-01 0:00
잠실 한강공원,서울,송파구,한가람로 65,22962,96214,108830,171572,2021-07-01 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,7595,45399,58040,122588,2021-07-01 0:00
난지 한강공원,서울,마포구,한강난지로 22,3425,25862,35564,70426,2021-07-01 0:00
망원 한강공원,서울,마포구,마포나루길 467,10066,27008,41102,64811,2021-07-01 0:00
양화 한강공원,서울,영등포구,노들로 221,0,62121,137128,151297,2021-07-01 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,5090,41750,54476,70790,2021-07-01 0:00
반포 한강공원,서울,서초구,신반포로11길 40,1762,40302,61640,69417,2021-07-01 0:00
잠원 한강공원,서울,강남구,강남대로 708,10760,127540,84620,198840,2021-07-01 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,38750,267600,229920,339820,2021-07-01 0:00
양화 한강공원,서울,영등포구,노들로 221,,89445,174219,217024,2021-06-29 0:00
망원 한강공원,서울,마포구,마포나루길 467,9126,44857,42204,80153,2021-06-29 0:00
난지 한강공원,서울,마포구,한강난지로 22,3841,40448,38326,84130,2021-06-29 0:00
여의도 한강공원,서울,영등포구,여의동로 280,26600,303553,226100,299650,2021-06-29 0:00
광나루 한강공원,서울,강동구,선사로 83-106,15270,42580,43760,69395,2021-06-29 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,6750,52040,61495,134135,2021-06-29 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,66800,303810,175860,406920,2021-06-28 0:00
반포 한강공원,서울,서초구,신반포로11길 40,800,55421,60504,74340,2021-06-01 0:00
잠원 한강공원,서울,강남구,강남대로 708,10500,74390,56130,88210,2021-06-01 0:00
잠실 한강공원,서울,송파구,한가람로 65,19550,128351,167684,225253,2021-06-01 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,4040,54896,27593,56640,2021-06-01 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,74900,369700,219425,359520,2021-05-31 0:00
잠원 한강공원,서울,강남구,강남대로 708,10010,61550,56590,93170,2021-05-31 0:00
반포 한강공원,서울,서초구,신반포로11길 40,1340,48221,61231,71320,2021-05-31 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,3530,39550,49214,59129,2021-05-31 0:00
여의도 한강공원,서울,영등포구,여의동로 280,27200,305550,227340,272415,2021-05-31 0:00
양화 한강공원,서울,영등포구,노들로 221,0,67080,93005,117301,2021-05-31 0:00
망원 한강공원,서울,마포구,마포나루길 467,12785,42315,45260,75412,2021-05-31 0:00
난지 한강공원,서울,마포구,한강난지로 22,3214,45737,36182,78907,2021-05-31 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,5222,50708,50608,120890,2021-05-31 0:00
잠실 한강공원,서울,송파구,한가람로 65,19680,138819,116727,200187,2021-05-31 0:00
광나루 한강공원,서울,강동구,선사로 83-106,14010,68530,40470,76185,2021-05-31 0:00
잠실 한강공원,서울,송파구,한가람로 65,20548,118638,103058,173244,2021-04-30 0:00
난지 한강공원,서울,마포구,한강난지로 22,3295,35989,41601,90471,2021-04-30 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,75280,341280,241110,380460,2021-04-30 0:00
양화 한강공원,서울,영등포구,노들로 221,0,74430,84935,130068,2021-04-30 0:00
광나루 한강공원,서울,강동구,선사로 83-106,12315,52830,33690,68790,2021-04-30 0:00
반포 한강공원,서울,서초구,신반포로11길 40,2020,41099,48128,69460,2021-04-30 0:00
망원 한강공원,서울,마포구,마포나루길 467,10549,41196,49686,78198,2021-04-30 0:00
잠원 한강공원,서울,강남구,강남대로 708,8380,68840,46870,88030,2021-04-30 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,7755,70390,77921,167552,2021-04-30 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,3140,32610,40095,51560,2021-04-30 0:00
여의도 한강공원,서울,영등포구,여의동로 280,21030,247140,179140,262154,2021-04-01 0:00
광나루 한강공원,서울,강동구,선사로 83-106,11210,54244,34420,71720,2021-03-31 0:00
반포 한강공원,서울,서초구,신반포로11길 40,880,36167,33192,52115,2021-03-31 0:00
잠실 한강공원,서울,송파구,한가람로 65,22480,117201,91541,157524,2021-03-31 0:00
양화 한강공원,서울,영등포구,노들로 221,0,52391,82342,93249,2021-03-31 0:00
망원 한강공원,서울,마포구,마포나루길 467,7919,42320,44682,81220,2021-03-31 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,65600,309106,237800,338415,2021-03-31 0:00
난지 한강공원,서울,마포구,한강난지로 22,4524,39392,35456,73068,2021-03-31 0:00
잠원 한강공원,서울,강남구,강남대로 708,5730,38823,45950,68640,2021-03-31 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,10360,83169,101215,194430,2021-03-31 0:00
여의도 한강공원,서울,영등포구,여의동로 280,15620,123441,104300,139039,2021-03-31 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,3710,36553,42075,55320,2021-03-31 0:00
난지 한강공원,서울,마포구,한강난지로 22,6326,35672,34912,60890,2021-02-28 0:00
잠원 한강공원,서울,강남구,강남대로 708,4870,30990,35660,47510,2021-02-28 0:00
광나루 한강공원,서울,강동구,선사로 83-106,8990,51005,28490,52650,2021-02-28 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,5890,59305,65935,127288,2021-02-28 0:00
망원 한강공원,서울,마포구,마포나루길 467,5188,27385,30401,50023,2021-02-28 0:00
양화 한강공원,서울,영등포구,노들로 221,0,49652,61555,65188,2021-02-28 0:00
잠실 한강공원,서울,송파구,한가람로 65,10998,68090,61145,86013,2021-02-28 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,57700,251813,185830,259622,2021-02-28 0:00
반포 한강공원,서울,서초구,신반포로11길 40,840,32099,31451,46541,2021-02-28 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,2630,47132,23270,50080,2021-02-28 0:00
여의도 한강공원,서울,영등포구,여의동로 280,13090,45886,45655,105772,2021-02-28 0:00
양화 한강공원,서울,영등포구,노들로 221,80,53785,54943,74026,2021-01-31 0:00
잠실 한강공원,서울,송파구,한가람로 65,10380,77000,62392,51024,2021-01-31 0:00
잠원 한강공원,서울,강남구,강남대로 708,5010,24675,27790,41070,2021-01-31 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,1960,27995,17940,33770,2021-01-31 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,5454,56956,56667,118963,2021-01-31 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,60850,254960,168730,263205,2021-01-31 0:00
반포 한강공원,서울,서초구,신반포로11길 40,2010,29347,25142,31530,2021-01-31 0:00
여의도 한강공원,서울,영등포구,여의동로 280,10200,37415,35740,56920,2021-01-31 0:00
광나루 한강공원,서울,강동구,선사로 83-106,11070,52690,26720,37840,2021-01-31 0:00
망원 한강공원,서울,마포구,마포나루길 467,5476,23086,21078,29627,2021-01-31 0:00
난지 한강공원,서울,마포구,한강난지로 22,7419,40511,28835,42662,2021-01-31 0:00
난지 한강공원,서울,마포구,한강난지로 22,6640,32619,35333,43242,2020-12-31 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,3120,29760,20575,35065,2020-12-31 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,59750,266350,166830,283500,2020-12-31 0:00
반포 한강공원,서울,서초구,신반포로11길 40,3510,33102,36686,64375,2020-12-31 0:00
광나루 한강공원,서울,강동구,선사로 83-106,13920,53850,31060,67075,2020-12-31 0:00
잠원 한강공원,서울,강남구,강남대로 708,5140,23590,25320,47690,2020-12-31 0:00
양화 한강공원,서울,영등포구,노들로 221,0,40668,50816,62934,2020-12-31 0:00
잠실 한강공원,서울,송파구,한가람로 65,9090,54950,52820,71384,2020-12-31 0:00
여의도 한강공원,서울,영등포구,여의동로 280,11120,40510,40960,79460,2020-12-31 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,5910,60085,65505,139636,2020-12-31 0:00
망원 한강공원,서울,마포구,마포나루길 467,6306,19259,21113,35234,2020-12-31 0:00
잠실 한강공원,서울,송파구,한가람로 65,10085,59620,48135,90323,2020-11-30 0:00
난지 한강공원,서울,마포구,한강난지로 22,5290,57995,54360,72900,2020-11-30 0:00
광나루 한강공원,서울,강동구,선사로 83-106,15550,51150,29730,77310,2020-11-30 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,6325,60322,62495,141210,2020-11-30 0:00
양화 한강공원,서울,영등포구,노들로 221,280,43340,48138,67940,2020-11-30 0:00
반포 한강공원,서울,서초구,신반포로11길 40,3230,42995,43772,86015,2020-11-30 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,2770,30437,18083,42290,2020-11-30 0:00
여의도 한강공원,서울,영등포구,여의동로 280,16750,44355,36425,84689,2020-11-30 0:00
망원 한강공원,서울,마포구,마포나루길 467,6398,20195,20789,37808,2020-11-30 0:00
잠원 한강공원,서울,강남구,강남대로 708,6910,23310,24805,50980,2020-11-30 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,61400,223750,204195,282910,2020-11-30 0:00
잠원 한강공원,서울,강남구,강남대로 708,8800,49982,54995,77405,2020-10-31 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,78800,263850,261110,372928,2020-10-31 0:00
망원 한강공원,서울,마포구,마포나루길 467,8746,33798,37954,67283,2020-10-31 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,2930,24360,18110,36657,2020-10-31 0:00
반포 한강공원,서울,서초구,신반포로11길 40,3780,47945,59082,117160,2020-10-31 0:00
광나루 한강공원,서울,강동구,선사로 83-106,20390,66660,42070,102620,2020-10-31 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,4950,78460,83235,215980,2020-10-31 0:00
난지 한강공원,서울,마포구,한강난지로 22,6205,89545,81590,100035,2020-10-31 0:00
양화 한강공원,서울,영등포구,노들로 221,380,74490,91990,148600,2020-10-31 0:00
여의도 한강공원,서울,영등포구,여의동로 280,14480,62400,79698,171267,2020-10-31 0:00
잠실 한강공원,서울,송파구,한가람로 65,12429,71435,76955,123913,2020-10-31 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,81450,238300,281040,350920,2020-09-30 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,3091,20670,20600,33915,2020-09-30 0:00
여의도 한강공원,서울,영등포구,여의동로 280,17950,116460,126135,186920,2020-09-30 0:00
반포 한강공원,서울,서초구,신반포로11길 40,3175,50024,59454,107795,2020-09-30 0:00
잠원 한강공원,서울,강남구,강남대로 708,8280,50290,59845,95330,2020-09-30 0:00
난지 한강공원,서울,마포구,한강난지로 22,5182,71555,66300,88718,2020-09-30 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,6294,73102,76275,183234,2020-09-30 0:00
양화 한강공원,서울,영등포구,노들로 221,0,58107,83194,135583,2020-09-30 0:00
망원 한강공원,서울,마포구,마포나루길 467,4058,30827,44935,64257,2020-09-30 0:00
광나루 한강공원,서울,강동구,선사로 83-106,20642,62877,57020,102100,2020-09-30 0:00
잠실 한강공원,서울,송파구,한가람로 65,14390,87500,98575,158843,2020-09-30 0:00
망원 한강공원,서울,마포구,마포나루길 467,3258,18467,18542,32060,2020-08-31 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,4145,27391,23737,40857,2020-08-31 0:00
여의도 한강공원,서울,영등포구,여의동로 280,15090,149710,113230,129277,2020-08-31 0:00
양화 한강공원,서울,영등포구,노들로 221,0,20268,53307,66123,2020-08-31 0:00
광나루 한강공원,서울,강동구,선사로 83-106,8933,25264,28970,43640,2020-08-31 0:00
잠실 한강공원,서울,송파구,한가람로 65,9023,47491,64630,85090,2020-08-31 0:00
난지 한강공원,서울,마포구,한강난지로 22,3930,40258,35127,56115,2020-08-31 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,3154,30120,40917,83804,2020-08-31 0:00
잠원 한강공원,서울,강남구,강남대로 708,2345,18765,27285,44746,2020-08-31 0:00
반포 한강공원,서울,서초구,신반포로11길 40,2330,29229,30863,49980,2020-08-31 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,45400,205730,173700,232520,2020-08-31 0:00
망원 한강공원,서울,마포구,마포나루길 467,4830,82800,53469,112907,2020-07-31 0:00
잠원 한강공원,서울,강남구,강남대로 708,3890,23265,44134,71900,2020-07-31 0:00
광나루 한강공원,서울,강동구,선사로 83-106,13690,51140,52270,68890,2020-07-31 0:00
난지 한강공원,서울,마포구,한강난지로 22,6405,71175,62745,89685,2020-07-31 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,7980,64630,63790,164209,2020-07-31 0:00
양화 한강공원,서울,영등포구,노들로 221,0,44005,104185,179936,2020-07-31 0:00
잠실 한강공원,서울,송파구,한가람로 65,16340,89430,111430,174465,2020-07-31 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,6990,51676,43612,79175,2020-07-31 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,103177,320977,296977,353808,2020-07-31 0:00
반포 한강공원,서울,서초구,신반포로11길 40,5870,79083,88232,136131,2020-07-31 0:00
여의도 한강공원,서울,영등포구,여의동로 280,16880,234200,216300,242700,2020-07-31 0:00
잠원 한강공원,서울,강남구,강남대로 708,5850,32590,32210,61165,2020-06-30 0:00
광나루 한강공원,서울,강동구,선사로 83-106,17720,97710,76481,92700,2020-06-30 0:00
양화 한강공원,서울,영등포구,노들로 221,0,75730,161124,246109,2020-06-30 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,53050,245893,206460,320265,2020-06-30 0:00
난지 한강공원,서울,마포구,한강난지로 22,6260,73766,72473,107193,2020-06-30 0:00
망원 한강공원,서울,마포구,마포나루길 467,2673,54599,49404,88891,2020-06-30 0:00
잠실 한강공원,서울,송파구,한가람로 65,22550,80732,87546,156275,2020-06-30 0:00
여의도 한강공원,서울,영등포구,여의동로 280,26050,255200,205400,226550,2020-06-30 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,5815,54575,55700,144824,2020-06-30 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,5940,52470,37470,72090,2020-06-30 0:00
반포 한강공원,서울,서초구,신반포로11길 40,910,138350,81377,144818,2020-06-30 0:00
난지 한강공원,서울,마포구,한강난지로 22,5840,84140,76990,99575,2020-05-31 0:00
양화 한강공원,서울,영등포구,노들로 221,620,104340,163964,254592,2020-05-31 0:00
망원 한강공원,서울,마포구,마포나루길 467,9864,63807,57729,83762,2020-05-31 0:00
잠원 한강공원,서울,강남구,강남대로 708,5520,32690,35950,66140,2020-05-31 0:00
반포 한강공원,서울,서초구,신반포로11길 40,1610,153636,90750,146104,2020-05-31 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,5925,66510,39890,88832,2020-05-31 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,123700,384170,350080,296390,2020-05-31 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,5605,51488,49755,137488,2020-05-31 0:00
광나루 한강공원,서울,강동구,선사로 83-106,11623,120420,66895,118309,2020-05-31 0:00
잠실 한강공원,서울,송파구,한가람로 65,8790,79936,84050,180345,2020-05-31 0:00
여의도 한강공원,서울,영등포구,여의동로 280,28850,285100,200960,264000,2020-05-31 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,5820,69850,45420,95410,2020-04-30 0:00
난지 한강공원,서울,마포구,한강난지로 22,5465,71770,66650,80120,2020-04-30 0:00
망원 한강공원,서울,마포구,마포나루길 467,645,53423,34995,75708,2020-04-30 0:00
양화 한강공원,서울,영등포구,노들로 221,3498,137580,103414,179322,2020-04-30 0:00
여의도 한강공원,서울,영등포구,여의동로 280,24300,168100,131700,165900,2020-04-30 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,5570,56493,50390,138800,2020-04-30 0:00
반포 한강공원,서울,서초구,신반포로11길 40,0,143345,75496,149865,2020-04-30 0:00
잠원 한강공원,서울,강남구,강남대로 708,6470,34620,32380,62920,2020-04-30 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,128500,438530,292180,325090,2020-04-30 0:00
잠실 한강공원,서울,송파구,한가람로 65,8900,85255,60440,169500,2020-04-30 0:00
광나루 한강공원,서울,강동구,선사로 83-106,20630,122260,67065,129185,2020-04-30 0:00
반포 한강공원,서울,서초구,신반포로11길 40,7400,116986,63902,115613,2020-03-31 0:00
잠실 한강공원,서울,송파구,한가람로 65,9670,85470,66035,138617,2020-03-31 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,5946,62699,41180,80810,2020-03-31 0:00
여의도 한강공원,서울,영등포구,여의동로 280,16240,111100,55700,193300,2020-03-31 0:00
양화 한강공원,서울,영등포구,노들로 221,3000,95745,40713,107576,2020-03-31 0:00
잠원 한강공원,서울,강남구,강남대로 708,4655,35175,26190,54375,2020-03-31 0:00
광나루 한강공원,서울,강동구,선사로 83-106,17360,107640,45010,84200,2020-03-31 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,5059,51657,43526,122764,2020-03-31 0:00
망원 한강공원,서울,마포구,마포나루길 467,685,47504,32187,58415,2020-03-31 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,112400,417240,290350,281185,2020-03-31 0:00
난지 한강공원,서울,마포구,한강난지로 22,4705,66360,58480,52658,2020-03-31 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,92050,289240,218870,188870,2020-02-29 0:00
여의도 한강공원,서울,영등포구,여의동로 280,6185,28003,25199,35050,2020-02-29 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,4980,34292,17670,44620,2020-02-29 0:00
반포 한강공원,서울,서초구,신반포로11길 40,7410,57169,30326,50316,2020-02-29 0:00
잠원 한강공원,서울,강남구,강남대로 708,4380,29640,23360,35820,2020-02-29 0:00
광나루 한강공원,서울,강동구,선사로 83-106,10568,53870,32530,35987,2020-02-29 0:00
잠실 한강공원,서울,송파구,한가람로 65,7285,45705,39735,77025,2020-02-29 0:00
양화 한강공원,서울,영등포구,노들로 221,2135,42144,17525,49423,2020-02-29 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,4035,36111,29650,71316,2020-02-29 0:00
난지 한강공원,서울,마포구,한강난지로 22,3760,32645,30620,30220,2020-02-29 0:00
망원 한강공원,서울,마포구,마포나루길 467,590,32163,15986,32637,2020-02-29 0:00
반포 한강공원,서울,서초구,신반포로11길 40,2600,63825,35183,49237,2020-01-31 0:00
잠실 한강공원,서울,송파구,한가람로 65,8620,44835,39565,82278,2020-01-31 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,5460,44290,22240,52090,2020-01-31 0:00
여의도 한강공원,서울,영등포구,여의동로 280,7145,37903,31569,49380,2020-01-31 0:00
